[root@pacstat1 pssh]# sh batch-get.sh 
[181] 21:40:40 [SUCCESS] 10.10.232.37
[182] 21:40:40 [SUCCESS] 10.10.56.80
[183] 21:40:40 [SUCCESS] 10.10.56.199
[184] 21:40:40 [SUCCESS] 10.10.56.211
[185] 21:40:40 [SUCCESS] 10.10.56.220
[186] 21:40:40 [SUCCESS] 10.10.56.76
[187] 21:40:40 [SUCCESS] 10.10.56.78
[188] 21:40:40 [SUCCESS] 10.10.56.85
[189] 21:40:40 [SUCCESS] 10.10.56.86
[190] 21:40:40 [SUCCESS] 10.10.56.89
[191] 21:40:40 [SUCCESS] 10.10.56.92
[192] 21:40:40 [SUCCESS] 10.10.232.39
[193] 21:40:40 [SUCCESS] 10.10.56.192
[194] 21:40:40 [SUCCESS] 10.10.56.192
[195] 21:40:40 [SUCCESS] 10.10.56.88
[196] 21:40:40 [SUCCESS] 10.10.56.93
[197] 21:40:40 [SUCCESS] 10.10.232.42
[198] 21:40:40 [SUCCESS] 10.10.56.77
[199] 21:40:40 [SUCCESS] 10.10.232.38
[200] 21:40:40 [SUCCESS] 10.10.232.40
[201] 21:40:40 [SUCCESS] 10.10.232.36
[202] 21:40:40 [SUCCESS] 10.10.56.94
[203] 21:40:40 [SUCCESS] 10.10.232.47
[204] 21:40:40 [SUCCESS] 10.10.56.97
[205] 21:40:40 [SUCCESS] 10.10.56.113
[206] 21:40:40 [SUCCESS] 10.10.56.105
[207] 21:40:40 [SUCCESS] 10.10.56.104
[208] 21:40:40 [SUCCESS] 10.10.56.99
[209] 21:40:40 [SUCCESS] 10.10.56.120
[210] 21:40:40 [SUCCESS] 10.10.56.109
[211] 21:40:40 [SUCCESS] 10.10.56.98
[212] 21:40:40 [SUCCESS] 10.10.56.103
[213] 21:40:40 [SUCCESS] 10.10.56.107
[214] 21:40:40 [SUCCESS] 10.10.56.112
[215] 21:40:41 [SUCCESS] 10.10.56.114
[216] 21:40:41 [SUCCESS] 10.10.56.121
[217] 21:40:41 [SUCCESS] 10.10.56.106
[218] 21:40:41 [SUCCESS] 10.10.56.117
